Brand,Title,Price,Promotion,Category
TeamGroup,No title,"219,00 MAD",Promo !,Other
MSI,No title,"699,00 MAD","-100,00 MAD",Other
MSI,No title,"1 099,00 MAD","-200,00 MAD",Other
XTRMLAB,No title,"749,00 MAD","-150,00 MAD",Other
XTRMLAB,No title,"99,00 MAD",,Other
Thermal,No title,"199,00 MAD","-80,00 MAD",Other
XTRMLAB,No title,"599,00 MAD",,Other
VERBATIM,No title,"399,00 MAD",,Other
TeamGroup,No title,"399,00 MAD",Promo !,Other
Mushkin,No title,"399,00 MAD","-50,00 MAD",Other
Team,No title,"399,00 MAD",Promo !,Other
MSI,No title,"629,00 MAD",,Other
Kingston,No title,"749,00 MAD",,Other
XTRMLAB,No title,"599,00 MAD","-200,00 MAD",Other
AMD,No title,"599,00 MAD","-100,00 MAD",Other
Arctic,No title,"119,00 MAD",,Other
XTRMLAB,No title,"999,00 MAD","-100,00 MAD",Other
XTRMLAB,No title,"599,00 MAD","-200,00 MAD",Other
AMD,No title,"999,00 MAD","-100,00 MAD",Other
XTRMLAB,No title,"799,00 MAD",,Other
Thermal,No title,"119,00 MAD",,Other
Gigabyte,No title,"1 099,00 MAD",,Other
XTRMLAB,No title,"899,00 MAD",,Other
XTRMLAB,No title,"899,00 MAD",,Other
Cooler,No title,"599,00 MAD","-50,00 MAD",Other
XTRMLAB,No title,"99,00 MAD",,Other
DeepCool,No title,"99,00 MAD",,Other
XTRMLAB,No title,"899,00 MAD",,Other
AMD,No title,"1 698,00 MAD",Pack,Other
AMD,No title,"1 149,00 MAD","-350,00 MAD",Other
Polartherm,No title,"69,00 MAD",,Other
TeamGroup,No title,"219,00 MAD",Promo !,Other
MSI,No title,"699,00 MAD","-100,00 MAD",Other
MSI,No title,"1 099,00 MAD","-200,00 MAD",Other
XTRMLAB,No title,"749,00 MAD","-150,00 MAD",Other
XTRMLAB,No title,"99,00 MAD",,Other
Thermal,No title,"199,00 MAD","-80,00 MAD",Other
XTRMLAB,No title,"599,00 MAD",,Other
VERBATIM,No title,"399,00 MAD",,Other
TeamGroup,No title,"399,00 MAD",Promo !,Other
Mushkin,No title,"399,00 MAD","-50,00 MAD",Other
Team,No title,"399,00 MAD",Promo !,Other
MSI,No title,"629,00 MAD",,Other
Kingston,No title,"749,00 MAD",,Other
XTRMLAB,No title,"599,00 MAD","-200,00 MAD",Other
AMD,No title,"599,00 MAD","-100,00 MAD",Other
Arctic,No title,"119,00 MAD",,Other
XTRMLAB,No title,"999,00 MAD","-100,00 MAD",Other
XTRMLAB,No title,"599,00 MAD","-200,00 MAD",Other
AMD,No title,"999,00 MAD","-100,00 MAD",Other
XTRMLAB,No title,"799,00 MAD",,Other
Thermal,No title,"119,00 MAD",,Other
Gigabyte,No title,"1 099,00 MAD",,Other
XTRMLAB,No title,"899,00 MAD",,Other
XTRMLAB,No title,"899,00 MAD",,Other
Cooler,No title,"599,00 MAD","-50,00 MAD",Other
XTRMLAB,No title,"99,00 MAD",,Other
DeepCool,No title,"99,00 MAD",,Other
XTRMLAB,No title,"899,00 MAD",,Other
AMD,No title,"1 698,00 MAD",Pack,Other
AMD,No title,"1 149,00 MAD","-350,00 MAD",Other
Polartherm,No title,"69,00 MAD",,Other
TeamGroup,No title,"219,00 MAD",Promo !,Other
MSI,No title,"699,00 MAD","-100,00 MAD",Other
MSI,No title,"1 099,00 MAD","-200,00 MAD",Other
XTRMLAB,No title,"749,00 MAD","-150,00 MAD",Other
XTRMLAB,No title,"99,00 MAD",,Other
Thermal,No title,"199,00 MAD","-80,00 MAD",Other
XTRMLAB,No title,"599,00 MAD",,Other
VERBATIM,No title,"399,00 MAD",,Other
TeamGroup,No title,"399,00 MAD",Promo !,Other
Mushkin,No title,"399,00 MAD","-50,00 MAD",Other
Team,No title,"399,00 MAD",Promo !,Other
MSI,No title,"629,00 MAD",,Other
Kingston,No title,"749,00 MAD",,Other
XTRMLAB,No title,"599,00 MAD","-200,00 MAD",Other
AMD,No title,"599,00 MAD","-100,00 MAD",Other
Arctic,No title,"119,00 MAD",,Other
XTRMLAB,No title,"999,00 MAD","-100,00 MAD",Other
XTRMLAB,No title,"599,00 MAD","-200,00 MAD",Other
AMD,No title,"999,00 MAD","-100,00 MAD",Other
XTRMLAB,No title,"799,00 MAD",,Other
Thermal,No title,"119,00 MAD",,Other
Gigabyte,No title,"1 099,00 MAD",,Other
XTRMLAB,No title,"899,00 MAD",,Other
XTRMLAB,No title,"899,00 MAD",,Other
Cooler,No title,"599,00 MAD","-50,00 MAD",Other
XTRMLAB,No title,"99,00 MAD",,Other
DeepCool,No title,"99,00 MAD",,Other
XTRMLAB,No title,"899,00 MAD",,Other
AMD,No title,"1 698,00 MAD",Pack,Other
AMD,No title,"1 149,00 MAD","-350,00 MAD",Other
Polartherm,No title,"69,00 MAD",,Other
TeamGroup,No title,"219,00 MAD",Promo !,Other
MSI,No title,"699,00 MAD","-100,00 MAD",Other
MSI,No title,"1 099,00 MAD","-200,00 MAD",Other
XTRMLAB,No title,"749,00 MAD","-150,00 MAD",Other
